id,name,street,city,state,accessible,unisex,directions,comment,latitude,longitude,created_at,updated_at,downvote,upvote,country,changing_table,edit_id,approved,distance,bearing
18466,Peaches,393 Lewis Abe.,Brooklyn,NY,True,True,Unmarked black doors by the entrance,you should be a customer,40.6818059,-73.9346505,2015-08-23 21:04:35.668000+00:00,2015-08-23 21:04:35.668000+00:00,1,10,US,False,18466,True,0.5576631313304771,69.115901283175
32318,Colina Cuervo ,759 Nostrand Ave ,Brooklyn ,NY,True,True,,,40.6712837,-73.9502392,2017-03-01 06:56:54.388000+00:00,2017-03-01 06:56:54.388000+00:00,0,0,US,False,32318,True,0.5731381494165351,221.413109766227
18455,Bedford Hall,1177 Bedford Ave.,Brooklyn,NY,True,True,,You need to be a customer.,40.68308270000001,-73.9535932,2015-08-22 16:07:42.593000+00:00,2015-08-22 16:07:42.593000+00:00,0,0,US,False,18455,True,0.599364339200541,297.464603117131
32228,Berg'n,899 Bergen st.,Brooklyn ,NY,True,True,,,40.6773075,-73.9573236,2017-03-01 02:25:48.873000+00:00,2017-03-01 02:25:48.873000+00:00,0,0,US,False,32228,True,0.692495647595965,266.215445929313
18664,Berg'n,899 Bergen Street,brooklyn ,ny ,True,True,Single room family restroom near the other bathrooms.,,40.6773075,-73.9573236,2015-09-11 00:46:46.768000+00:00,2015-09-11 00:46:46.768000+00:00,0,2,US,False,18664,True,0.692495647595965,266.215445929313
30737,Berg'n,899 Bergen Street,Brooklyn,NY,True,True,"When entering, walk to the mirrors straight ahead (left of the bar) and turn left.  Bathrooms will be on your left before the staircase. ",There are gendered bathrooms and a gender neutral bathroom between them. ,40.6773075,-73.9573236,2017-02-26 20:17:06.453000+00:00,2017-02-26 20:17:06.453000+00:00,0,0,US,False,30737,True,0.692495647595965,266.215445929313
27858,Doris ,1088 fulton street ,brooklyn ,NY,True,True,"There is a first floor bathroom (accessible) and then there are three bathrooms downstairs. All are gender neutral, all private single stalls with functioning locks. ","It's a bar, so do you, though only open 5pm-2am, but no one will bother you about using the bathroom! Also, staff is nice. Alert them if you need assistance or do not feel safe. ",40.68122090000001,-73.9573954,2017-01-30 18:12:35.073000+00:00,2017-01-30 18:12:35.073000+00:00,0,0,US,False,27858,True,0.7247739453938941,282.944028710647
2827,Franklin Park,618 St. John's Place,Brooklyn,NY,True,True,By the skee ball machine!,"It's a fun bar, too!",40.6725066,-73.9578374,2014-02-02 20:53:02.593000+00:00,2014-02-02 20:53:02.593000+00:00,1,0,US,False,2827,True,0.816952155927069,247.480105639688
41031,Gotham Market at the Ashland,Fulton Street,Brooklyn ,New York ,True,True,,,40.67921,-73.9280339,2018-04-20 22:14:46.991000+00:00,2018-04-20 22:14:46.991000+00:00,0,0,US,True,41031,True,0.847879035632741,86.339253494043
20664,Bombay Heights,1047 Bedford Ave,Brooklyn,NY,True,True,Back of the restaurant,You must be a paying customer,40.6881596,-73.9545618,2016-03-27 18:08:57.095000+00:00,2016-03-27 18:08:57.095000+00:00,0,1,US,False,20664,True,0.8790596097005081,313.812100233106
29787,C'mon Everybody,325 Franklin Avenue,Brooklyn,NY,True,True,"One restroom on the left past the bar, another in the music room to the right of the stage",,40.6883159,-73.9568761,2017-02-25 19:55:08.768000+00:00,2017-02-25 19:55:08.768000+00:00,0,0,US,False,29787,True,0.9667779241188651,308.557860937292
