id,name,street,city,state,accessible,unisex,directions,comment,latitude,longitude,created_at,updated_at,downvote,upvote,country,changing_table,edit_id,approved,distance,bearing
16538,"Westfield Garden State Plaza, 500 Garden State Plaza Boulevard, Paramus, NJ 07652, USA",Westfield Garden State Plaza,Paramus,New Jersey,True,True,"Single occupancy restroom, in new wing of mall near Starbucks and Windows store",,40.9181161,-74.0763632,2015-03-11 00:38:08.680000+00:00,2015-03-11 00:38:08.680000+00:00,0,1,US,False,16538,True,17.962452822455464,331.145304028741
24615,River edge Train Station ,16 River Edge Road,River Edge,Nj,True,True,,,40.9351142,-74.0292566,2016-08-08 19:30:47.412000+00:00,2016-08-08 19:30:47.412000+00:00,0,0,US,False,24615,True,18.301906945811595,341.674815295264
19081,Hofstra University,365 Hofstra University,Hempstead,NY,True,True,"South side of campus, Breslin hall on the second floor",,40.7178645,-73.5974371,2015-10-27 18:33:01.530000+00:00,2015-10-27 18:33:01.530000+00:00,0,1,US,False,19081,True,18.368284229905907,83.470270014554
19079,Hofstra University,365 Hofstra University,Hempstead,NY,True,True,"South side of campus, Adams Hall on the first floor",,40.7178645,-73.5974371,2015-10-27 18:30:40.026000+00:00,2015-10-27 18:30:40.026000+00:00,0,1,US,False,19079,True,18.368284229905907,83.470270014554
19080,Hofstra University,365 Hofstra University,Hempstead,NY,True,True,"South side of campus, Adams Hall on the first floor",,40.7178645,-73.5974371,2015-10-27 18:30:41.627000+00:00,2015-10-27 18:30:41.627000+00:00,0,0,US,False,19080,True,18.368284229905907,83.470270014554
28475,Slonim House Sarah Lawrence College,1 Mead Way,Bronxville,New York,True,True,"first floor, just to the right of main entrance",,40.9340953,-73.8438499,2017-02-24 05:50:43.628000+00:00,2017-02-24 05:50:43.628000+00:00,0,0,US,False,28475,True,18.443922991028856,21.402962252548
3090,Sarah Lawrence College Library,23 Glen Washington Rd.,Bronxville,NY,True,True,"Bottom floor, elevator available","9am to 8:30pm during school year, 9am to 4:30pm during summer",40.934978,-73.84503,2014-02-02 20:53:31.455000+00:00,2014-02-02 20:53:31.455000+00:00,1,0,US,False,3090,True,18.484987347752913,21.107220227643
1189,Yonkers Public Library,one Larkin Center,Yonkers,NY,True,True,"Second, Third and Fourth Floors",,40.9413523,-73.8713099,2014-02-02 20:50:38.536000+00:00,2014-02-02 20:50:38.536000+00:00,1,0,US,False,1189,True,18.578348691487673,15.472384568649
35177,Subway,2497 Rte 22,Union,NJ,True,True,Back of the reataurant,Probably need to be a patron of the restaurant.,40.6905367,-74.2988731,2017-05-20 16:26:15.491000+00:00,2017-05-20 16:26:15.491000+00:00,0,0,US,False,35177,True,18.60465404484419,271.995381511539
40197,Grover Cleveland service area,NJ Turnpike,Sewaren,New Jersey,True,True,In between the women's and men's restrooms,"This is a ""family"" unisex single occupancy bathroom",40.5587764,-74.263756,2018-03-01 14:49:16.289000+00:00,2018-03-01 14:49:16.289000+00:00,0,1,US,True,40197,True,18.681898999643145,249.514288264278
