id,name,street,city,state,accessible,unisex,directions,comment,latitude,longitude,created_at,updated_at,downvote,upvote,country,changing_table,edit_id,approved,distance,bearing
32821,Chamblin's Uptown ,215 N Laura St,Jacksonville ,Florida ,True,True,,,30.32846589999999,-81.6586073,2017-03-02 18:34:24.133000+00:00,2017-03-02 18:34:24.133000+00:00,0,0,US,False,32821,True,0.31156249403748804,218.49007672131
26721,Chamblin's Uptown,215 North Laura Street,Jacksonville,Florida,True,True,In the cafe area.,,30.32846589999999,-81.6586073,2016-11-24 19:54:08.126000+00:00,2016-11-24 19:54:08.126000+00:00,0,1,US,False,26721,True,0.31156249403748804,218.49007672131
50381,Bank building,100 N Laura St,Jacksonville,Fl,True,True,"7th floor, turn right off elevators",Building open to public.,30.3276225,-81.6595831,2019-06-13 13:13:49.577000+00:00,2019-06-13 13:13:49.679000+00:00,0,0,US,False,50381,True,0.392825552574588,220.763207656437
26441,HOURGLASS PUB,345 E Bay St,Jacksonville,Florida,True,True,In the arcade.  ,We are a safe place.  If you need help or feel unsafe please don't hesitate to speak to any member of our staff.  ,30.3253288,-81.6529557,2016-11-12 17:56:42.392000+00:00,2016-11-12 17:56:42.392000+00:00,0,0,US,False,26441,True,0.500167373406724,158.535870387147
23647,Three Layers Cafe,1602 Walnut St,Jacksonville,Florida,True,True,On back part of kitchen.,Gender neutral single occupancies.,30.3427975,-81.64827149999999,2016-06-27 18:15:35.288000+00:00,2016-06-27 18:15:35.288000+00:00,0,0,US,False,23647,True,0.8552365403134861,34.81014096517
30756,Mosh , Museum circle ,Jacksonville ,Florida,True,True,,,30.3185559,-81.6607094,2017-02-26 20:40:45.114000+00:00,2017-02-26 20:40:45.114000+00:00,0,2,US,False,30756,True,0.9887444632929291,200.363904272686
1884,Campus Starbucks - University of North Florida,1 U N F Drive,Jacksonville,FL,True,True,"The Starbucks is near the Library on campus.  There are two separate sets of bathrooms, the stalled ones straight ahead and then the singles on the hall to the left.  ",,30.3203052,-81.6315107,2014-02-02 20:51:42.826000+00:00,2014-02-02 20:51:42.826000+00:00,2,2,US,False,1884,True,1.6572083031717662,116.200190639987
49033,JASMYN House,923 Peninsular Pl,Jacksonville,Fl,True,True,,Lgbt safe place,30.318728,-81.679717,2019-04-10 19:28:29.437000+00:00,2019-04-10 19:28:29.562000+00:00,0,1,US,False,49033,True,1.7100834042051871,240.789538584157
54475,BREW,1024 Park Street,Jacksonville,Florida,True,True,,,30.314836,-81.680939,2019-12-18 03:18:10.466000+00:00,2020-04-14 21:05:22.422000+00:00,0,1,,False,54475,True,1.926479065219794,235.549520105118
23648,BREW Five Points,1024 Park St,Jacksonville,Florida,True,True,"In back of building, have to go past barista counter, which faces the door.",single occupancy all gender bathrooms.,30.314789,-81.68100609999999,2016-06-27 18:22:09.271000+00:00,2016-06-27 18:22:09.271000+00:00,0,0,US,False,23648,True,1.931632778537315,235.548031499665
