id,name,street,city,state,accessible,unisex,directions,comment,latitude,longitude,created_at,updated_at,downvote,upvote,country,changing_table,edit_id,approved,distance,bearing
26721,Chamblin's Uptown,215 North Laura Street,Jacksonville,Florida,TRUE,TRUE,In the cafe area.,,30.3284659,-81.658607,2016-11-24 19:54:08.126000+00:00,2016-11-24 19:54:08.126000+00:00,0,1,US,FALSE,26721,TRUE,0.31156249,218.490077
50381,Bank building,100 N Laura St,Jacksonville,Fl,TRUE,TRUE,"7th floor, turn right off elevators",Building open to public.,30.3276225,-81.659583,2019-06-13 13:13:49.577000+00:00,2019-06-13 13:13:49.679000+00:00,0,0,US,FALSE,50381,TRUE,0.39282555,220.763208
26441,HOURGLASS PUB,345 E Bay St,Jacksonville,Florida,TRUE,TRUE,In the arcade.  ,We are a safe place.  If you need help or feel unsafe please don't hesitate to speak to any member of our staff.  ,30.3253288,-81.652956,2016-11-12 17:56:42.392000+00:00,2016-11-12 17:56:42.392000+00:00,0,0,US,FALSE,26441,TRUE,0.50016737,158.53587
23647,Three Layers Cafe,1602 Walnut St,Jacksonville,Florida,TRUE,TRUE,On back part of kitchen.,Gender neutral single occupancies.,30.3427975,-81.648271,2016-06-27 18:15:35.288000+00:00,2016-06-27 18:15:35.288000+00:00,0,0,US,FALSE,23647,TRUE,0.85523654,34.810141
30756,Mosh , Museum circle ,Jacksonville ,Florida,TRUE,TRUE,,,30.3185559,-81.660709,2017-02-26 20:40:45.114000+00:00,2017-02-26 20:40:45.114000+00:00,0,2,US,FALSE,30756,TRUE,0.98874446,200.363904
1884,Campus Starbucks - University of North Florida,1 U N F Drive,Jacksonville,FL,TRUE,TRUE,"The Starbucks is near the Library on campus.  There are two separate sets of bathrooms, the stalled ones straight ahead and then the singles on the hall to the left.  ",,30.3203052,-81.631511,2014-02-02 20:51:42.826000+00:00,2014-02-02 20:51:42.826000+00:00,2,2,US,FALSE,1884,TRUE,1.6572083,116.200191
49033,JASMYN House,923 Peninsular Pl,Jacksonville,Fl,TRUE,TRUE,,Lgbt safe place,30.318728,-81.679717,2019-04-10 19:28:29.437000+00:00,2019-04-10 19:28:29.562000+00:00,0,1,US,FALSE,49033,TRUE,1.7100834,240.789539
23648,BREW Five Points,1024 Park St,Jacksonville,Florida,TRUE,TRUE,"In back of building, have to go past barista counter, which faces the door.",single occupancy all gender bathrooms.,30.314789,-81.681006,2016-06-27 18:22:09.271000+00:00,2016-06-27 18:22:09.271000+00:00,0,0,US,FALSE,23648,TRUE,1.93163278,235.548031
44943,Derby on Park,1068 Park,Jacksonville,FL,TRUE,TRUE,,,30.3142121,-81.681204,2018-10-06 18:47:46.194000+00:00,2020-04-14 21:31:39.502000+00:00,0,0,US,FALSE,44943,TRUE,1.9658127,234.880656
30433,Bold Bean Coffee Roasters,869 Stockton St,Jacksonville,Florida,TRUE,TRUE,,,30.3155142,-81.689231,2017-02-26 14:31:49.932000+00:00,2020-04-14 21:16:25.515000+00:00,0,0,US,FALSE,30433,TRUE,2.31029655,243.599598
47285,Bold City Brewery,2670 Rosselle St,Jacksonville,Florida,TRUE,TRUE,,,30.3189634,-81.695682,2019-02-02 02:10:17.214000+00:00,2019-02-02 02:10:17.329000+00:00,0,0,US,FALSE,47285,TRUE,2.55618239,251.723857
18375,Silver Cow,1506 King Street,Jacksonville,FL,TRUE,TRUE,"Back of the building, beyond the bar and tables, past a cooler of beer and on the left.",A quiet bar; you will likely be noticed for only using the bathroom. But otherwise a relaxed place.,30.3102123,-81.693601,2015-08-14 13:26:42.823000+00:00,2015-08-14 13:26:42.823000+00:00,0,0,US,FALSE,18375,TRUE,2.72537018,239.930977
49081,University Park Branch,3435 University Blvd N,Jacksonville,Fl,TRUE,TRUE,"On right as you walk in, before gendered stalls",,30.361852,-81.604723,2019-04-12 12:58:34.808000+00:00,2019-04-12 12:58:34.908000+00:00,0,0,US,FALSE,49081,TRUE,3.6637685,59.7769825
43972,Silver Cow,Edgewood Ave,Jacksonville,Florida,TRUE,TRUE,To the very back past the bar on the left,,30.3108001,-81.716434,2018-09-13 12:29:04.899000+00:00,2020-04-14 21:26:44.313000+00:00,0,0,US,FALSE,43972,TRUE,3.91469938,250.617808
49501,Hubbard House Thrift Storw,6629 Beach Blvd,Jacksonville,Fl,TRUE,TRUE,To left as you walj in. Ask for key,,30.2908938,-81.591792,2019-05-01 16:34:18.898000+00:00,2019-05-01 16:34:18.924000+00:00,0,0,US,FALSE,49501,TRUE,4.75896037,122.885931
55562,Merrill Animal Clinic ,7530 Merrill Rd.,Jacksonville ,FL,TRUE,TRUE,Ask the receptionist at the front desk where the restroom is. ,,30.3518607,-81.571138,2020-02-18 02:56:15.685000+00:00,2020-02-18 02:56:16.009000+00:00,0,1,US,FALSE,55562,TRUE,5.21960038,76.893454
