County,State,Distance
Aleutians West Census Area,AK,838.7525
Cameron County,TX,831.18896
Willacy County,TX,796.02374
Hidalgo County,TX,765.59888
Kenedy County,TX,753.08386
Kleberg County,TX,723.85956
Starr County,TX,719.60498
Aransas County,TX,715.48285
Brooks County,TX,710.58643
Nueces County,TX,709.3797
San Patricio County,TX,706.48474
Matagorda County,TX,694.78125
Refugio County,TX,694.39227
Calhoun County,TX,676.70862
Duval County,TX,676.45825
Jim Wells County,TX,673.25385
Jim Hogg County,TX,671.78058
Bee County,TX,669.99225
Wharton County,TX,667.24146
Zapata County,TX,666.18384
Goliad County,TX,659.7135
Mcmullen County,TX,656.11951
Dewitt County,TX,651.31879
Jackson County,TX,650.01331
Live Oak County,TX,649.79767
Newton County,TX,648.78857
Victoria County,TX,645.52515
Aleutians East Borough,AK,645.52301
Jasper County,TX,640.65857
Chambers County,TX,639.2002
Galveston County,TX,638.38745
Hardin County,TX,638.29297
Brazoria County,TX,635.83362
Karnes County,TX,631.80463
Liberty County,TX,629.76532
Jefferson County,TX,629.70874
Gonzales County,TX,629.5329
Fort Bend County,TX,623.80322
Frio County,TX,621.17981
Webb County,TX,616.88989
Tyler County,TX,613.42883
Beauregard Parish,LA,610.52765
Lavaca County,TX,609.18115
Sabine County,TX,604.43011
Orange County,TX,604.28595
La Salle County,TX,604.27045
Sabine Parish,LA,600.56891
Harris County,TX,600.3241
Guadalupe County,TX,599.41071
Atascosa County,TX,596.96808
Austin County,TX,596.36035
Colorado County,TX,596.28583
Wilson County,TX,594.43353
Cameron Parish,LA,591.34155
Medina County,TX,590.47723
Comal County,TX,588.25519
San Augustine County,TX,585.61938
Waller County,TX,585.22601
Red River Parish,LA,582.86792
Hays County,TX,582.789
Allen Parish,LA,582.01355
Natchitoches Parish,LA,579.21985
Vernon Parish,LA,579.1347
Polk County,TX,577.89075
Caldwell County,TX,576.96118
Fayette County,TX,572.30402
Bastrop County,TX,568.71124
Montgomery County,TX,568.60559
San Jacinto County,TX,568.49994
Calcasieu Parish,LA,566.48053
Llano County,TX,561.1889
Shelby County,TX,559.80322
De Soto Parish,LA,559.27631
Bexar County,TX,558.47723
Washington County,TX,557.7962
Trinity County,TX,557.09778
Blanco County,TX,549.11755
Angelina County,TX,547.341
Burnet County,TX,546.87622
Grimes County,TX,545.24139
Travis County,TX,543.20703
Nacogdoches County,TX,542.33337
Zavala County,TX,541.22424
Lee County,TX,541.07324
Dimmit County,TX,538.62317
Grant Parish,LA,538.03412
Evangeline Parish,LA,535.80652
Walker County,TX,534.64642
Jefferson Davis Parish,LA,534.30402
Kendall County,TX,533.49066
Bandera County,TX,532.2218
Burleson County,TX,532.00623
Winn Parish,LA,531.25311
Brazos County,TX,529.95819
Vermilion Parish,LA,529.64191
Bossier Parish,LA,529.15662
Bienville Parish,LA,529.06836
Caddo Parish,LA,527.2428
San Saba County,TX,525.91364
Webster Parish,LA,525.69061
Williamson County,TX,523.90973
Avoyelles Parish,LA,523.53131
Rapides Parish,LA,523.18835
Houston County,TX,522.46881
Mcculloch County,TX,521.12225
Lampasas County,TX,520.54004
Nome Census Area,AK,517.89587
Panola County,TX,516.61731
Coleman County,TX,515.96924
St. Landry Parish,LA,513.69067
Acadia Parish,LA,512.78162
Milam County,TX,511.98129
Jackson Parish,LA,511.57614
Iberia Parish,LA,510.22589
Uvalde County,TX,509.6561
Gillespie County,TX,508.6265
Robertson County,TX,508.23254
Madison County,TX,507.9169
Kerr County,TX,505.67062
Brown County,TX,505.49167
La Salle Parish,LA,504.3558
Coryell County,TX,503.93701
Mills County,TX,498.66714
Real County,TX,497.57602
Bell County,TX,496.47
Lafayette Parish,LA,495.04953
Concho County,TX,494.96317
Harrison County,TX,494.44431
Maverick County,TX,493.43646
Mason County,TX,492.32047
Cherokee County,TX,492.19559
Callahan County,TX,491.7569
Smith County,TX,490.94104
Leon County,TX,490.17487
Lafayette County,AR,489.53363
Columbia County,AR,489.45346
Union Parish,LA,489.28445
Anderson County,TX,488.26477
St. Martin Parish,LA,486.95743
Lincoln Parish,LA,486.14279
Rusk County,TX,485.80664
Caldwell Parish,LA,483.87418
Claiborne Parish,LA,483.59644
Catahoula Parish,LA,481.59808
Cass County,TX,479.83713
Kusilvak Census Area,AK,478.24948
West Feliciana Parish,LA,477.94443
St. Mary Parish,LA,476.13687
Falls County,TX,474.5592
Marion County,TX,472.66589
Pointe Coupee Parish,LA,472.46765
Taylor County,TX,471.72452
Wilkinson County,MS,469.34091
Comanche County,TX,467.91611
Runnels County,TX,467.49359
Kinney County,TX,465.98364
Menard County,TX,465.9787
Assumption Parish,LA,462.21628
Concordia Parish,LA,461.49115
Gregg County,TX,461.44641
Tom Green County,TX,458.45264
Miller County,AR,458.2507
East Feliciana Parish,LA,457.58768
Hamilton County,TX,454.7244
Ouachita Parish,LA,454.58026
Limestone County,TX,454.37332
Freestone County,TX,453.31018
Iberville Parish,LA,453.08771
Edwards County,TX,452.05685
Kimble County,TX,451.60449
Union County,AR,451.46344
Little River County,AR,447.6824
Jones County,TX,447.17725
Adams County,MS,447.02997
Mclennan County,TX,446.48688
Morehouse Parish,LA,445.59149
Hempstead County,AR,445.26404
Bosque County,TX,443.49933
West Baton Rouge Parish,LA,443.37259
Franklin Parish,LA,443.04761
Howard County,AR,442.63626
Bowie County,TX,441.60602
Upshur County,TX,441.46683
Stonewall County,TX,438.47495
Henderson County,TX,437.53168
Ascension Parish,LA,436.85068
Val Verde County,TX,435.79868
Shackelford County,TX,435.50787
Wood County,TX,435.401
Terrebonne Parish,LA,435.30408
Nevada County,AR,435.09964
East Baton Rouge Parish,LA,435.02942
Erath County,TX,434.57272
Amite County,MS,434.44473
North Slope Borough,AK,434.259
Ouachita County,AR,433.98987
Nolan County,TX,432.57562
St. Helena Parish,LA,432.42526
Tensas Parish,LA,430.75751
Richland Parish,LA,429.96899
St. James Parish,LA,427.45987
Morris County,TX,427.20761
Lafourche Parish,LA,426.79004
Ashley County,AR,424.82031
Coke County,TX,423.26935
Eastland County,TX,422.54483
Camp County,TX,421.62085
Navarro County,TX,420.69379
Livingston Parish,LA,420.62479
Calhoun County,AR,420.59933
Van Zandt County,TX,420.32718
East Carroll Parish,LA,419.59644
Fisher County,TX,418.59229
Kent County,TX,418.57986
